STATION,STATION_NAME,DATE,HPCP
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050101 01:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 05:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 06:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 07:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 08:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 11:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 12:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 13:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 14:00,0.1
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 15:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050106 16:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050108 03:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050108 04:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050108 08:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050108 09:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050108 10:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 13:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 14:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 15:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 16:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 17:00,0.05
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 18:00,0.4
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 19:00,0.31
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 20:00,0.2
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 21:00,0.16
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 22:00,0.09
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050113 23:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050114 00:00,0.04
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050114 01:00,0.04
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050114 02:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050114 03:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050122 11:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050122 12:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050122 13:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050122 14:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050122 15:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050122 16:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050128 16:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050128 17:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050128 22:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050128 23:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 00:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 01:00,0.05
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 02:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 03:00,0.05
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 04:00,0.11
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 05:00,0.12
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 06:00,0.13
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 07:00,0.05
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 08:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 09:00,0.1
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 10:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 11:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 12:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 13:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 14:00,0.1
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 15:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 16:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 17:00,0.04
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 18:00,0.04
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 19:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 20:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 21:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050129 22:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050201 01:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050201 09:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050201 10:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050201 11:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050201 12:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 04:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 05:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 06:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 07:00,0.01
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 08:00,0.07
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 09:00,0.07
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 10:00,0.13
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 11:00,0.03
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 12:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 17:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 18:00,0
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 19:00,0.02
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 20:00,0.07
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 21:00,0.06
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 22:00,0.11
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050202 23:00,0.05
COOP:090451,ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT GA US,20050203 00:00,0.06
