STATION,STATION_NAME,DATE,HPCP
COOP:234273,JEFFERSON BARRACKS MO US,20050101 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050101 11:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050101 13:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050102 16:00,0.50
COOP:234273,JEFFERSON BARRACKS MO US,20050102 17:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050102 21:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050102 22:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050103 01:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050103 02:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050103 03:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050103 04:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050103 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050103 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050103 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050104 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050104 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050104 15:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050104 19:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050104 21:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050104 22:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050104 23:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20050105 00:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050105 01:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050105 03:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050105 04:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050105 05:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050105 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050105 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050105 08:00,0.30
